edge (layer) removed, flops cost percentage, run time
 0, 100.0000,  14.1511
 1,  97.6369,  13.3538
 2,  98.3344,  13.6471
 3,  97.8347,  13.5651
 4,  97.8347,  13.6349
 5,  97.8347,  13.5915
 6,  97.8347,  13.6435
 7,  97.8347,  13.6027
 8,  94.3369,  12.4342
 9,  98.1678,  13.4819
10,  97.8347,  13.6530
11,  97.8347,  13.6702
12,  97.8347,  13.6149
13,  97.8347,  13.6433
14,  97.8347,  13.6054
15,  97.8347,  13.6774
16,  97.8347,  13.6030
17,  92.3381,  12.6061
18,  98.1678,  13.5615
19,  97.8347,  13.6697
20,  97.8347,  13.6843
21,  97.8347,  13.6261
22,  97.8347,  13.6459
23,  97.8347,  13.6266
24,  97.8347,  13.6690
25,  97.8347,  13.6325
26,  97.8347,  13.6769
27,  97.8347,  13.6366
28,  97.8347,  13.6580
29,  97.8347,  13.5863
30,  89.6731,  12.4362
31,  98.1678,  13.4728
32,  97.8347,  13.5407
33,  97.8347,  13.5648
34,  97.8347,  13.5281
35,  97.8347,  13.5434
36,  97.8347,  13.5252
37,  95.3362,  13.0966
 0, 100.0000,  13.7303
 1,  97.6369,  13.3791
 2,  98.3344,  13.6652
 3,  97.8347,  13.5932
 4,  97.8347,  13.6683
 5,  97.8347,  13.6390
 6,  97.8347,  13.6759
 7,  97.8347,  13.6251
 8,  94.3369,  12.4524
 9,  98.1678,  13.4790
10,  97.8347,  13.6786
11,  97.8347,  13.6805
12,  97.8347,  13.6542
13,  97.8347,  13.6585
14,  97.8347,  13.6423
15,  97.8347,  13.6793
16,  97.8347,  13.6223
17,  92.3381,  12.5992
18,  98.1678,  13.5472
19,  97.8347,  13.7043
20,  97.8347,  13.6542
21,  97.8347,  13.6254
22,  97.8347,  13.6471
23,  97.8347,  13.6306
24,  97.8347,  13.6602
25,  97.8347,  13.6058
26,  97.8347,  13.6728
27,  97.8347,  13.6194
28,  97.8347,  13.6969
29,  97.8347,  13.6378
30,  89.6731,  12.4607
31,  98.1678,  13.4692
32,  97.8347,  13.5686
33,  97.8347,  13.5872
34,  97.8347,  13.5114
35,  97.8347,  13.6082
36,  97.8347,  13.5148
37,  95.3362,  13.0975
 0, 100.0000,  13.7711
 1,  97.6369,  13.3803
 2,  98.3344,  13.6755
 3,  97.8347,  13.6061
 4,  97.8347,  13.6645
 5,  97.8347,  13.6070
 6,  97.8347,  13.6609
 7,  97.8347,  13.6194
 8,  94.3369,  12.4824
 9,  98.1678,  13.5088
10,  97.8347,  13.7045
11,  97.8347,  13.6998
12,  97.8347,  13.6392
13,  97.8347,  13.6988
14,  97.8347,  13.6242
15,  97.8347,  13.6905
16,  97.8347,  13.6263
17,  92.3381,  12.6083
18,  98.1678,  13.5596
19,  97.8347,  13.6871
20,  97.8347,  13.6857
21,  97.8347,  13.6542
22,  97.8347,  13.6716
23,  97.8347,  13.6158
24,  97.8347,  13.7002
25,  97.8347,  13.6223
26,  97.8347,  13.6855
27,  97.8347,  13.6485
28,  97.8347,  13.6840
29,  97.8347,  13.6306
30,  89.6731,  12.4786
31,  98.1678,  13.4764
32,  97.8347,  13.5446
33,  97.8347,  13.5665
34,  97.8347,  13.5322
35,  97.8347,  13.5958
36,  97.8347,  13.5307
37,  95.3362,  13.0978
 0, 100.0000,  13.7804
 1,  97.6369,  13.3786
 2,  98.3344,  13.7031
 3,  97.8347,  13.6106
 4,  97.8347,  13.6831
 5,  97.8347,  13.6464
 6,  97.8347,  13.6845
 7,  97.8347,  13.6414
 8,  94.3369,  12.4927
 9,  98.1678,  13.5109
10,  97.8347,  13.6924
11,  97.8347,  13.6976
12,  97.8347,  13.6402
13,  97.8347,  13.6831
14,  97.8347,  13.6359
15,  97.8347,  13.6738
16,  97.8347,  13.6817
17,  92.3381,  12.5890
18,  98.1678,  13.6054
19,  97.8347,  13.6995
20,  97.8347,  13.6890
21,  97.8347,  13.6614
22,  97.8347,  13.7050
23,  97.8347,  13.6421
24,  97.8347,  13.6771
25,  97.8347,  13.6485
26,  97.8347,  13.6631
27,  97.8347,  13.6611
28,  97.8347,  13.6893
29,  97.8347,  13.6466
30,  89.6731,  12.4567
31,  98.1678,  13.5038
32,  97.8347,  13.5736
33,  97.8347,  13.6249
34,  97.8347,  13.5460
35,  97.8347,  13.5849
36,  97.8347,  13.5562
37,  95.3362,  13.1090
 0, 100.0000,  13.7691
 1,  97.6369,  13.3982
 2,  98.3344,  13.6940
 3,  97.8347,  13.6156
 4,  97.8347,  13.7012
 5,  97.8347,  13.6268
 6,  97.8347,  13.6547
 7,  97.8347,  13.6216
 8,  94.3369,  12.4850
 9,  98.1678,  13.5460
10,  97.8347,  13.7076
11,  97.8347,  13.6845
12,  97.8347,  13.6573
13,  97.8347,  13.6869
14,  97.8347,  13.6163
15,  97.8347,  13.6871
16,  97.8347,  13.6285
17,  92.3381,  12.6140
18,  98.1678,  13.6178
19,  97.8347,  13.7038
20,  97.8347,  13.7317
21,  97.8347,  13.6783
22,  97.8347,  13.7334
23,  97.8347,  13.6688
24,  97.8347,  13.6912
25,  97.8347,  13.6466
26,  97.8347,  13.7157
27,  97.8347,  13.6604
28,  97.8347,  13.7310
29,  97.8347,  13.6359
30,  89.6731,  12.4679
31,  98.1678,  13.5093
32,  97.8347,  13.5849
33,  97.8347,  13.5858
34,  97.8347,  13.5331
35,  97.8347,  13.6147
36,  97.8347,  13.5465
37,  95.3362,  13.1271
 0, 100.0000,  13.7811
 1,  97.6369,  13.4270
 2,  98.3344,  13.7272
 3,  97.8347,  13.6645
 4,  97.8347,  13.7031
 5,  97.8347,  13.6392
 6,  97.8347,  13.7076
 7,  97.8347,  13.6287
 8,  94.3369,  12.5184
 9,  98.1678,  13.4914
10,  97.8347,  13.6907
11,  97.8347,  13.7155
12,  97.8347,  13.6693
13,  97.8347,  13.6962
14,  97.8347,  13.6478
15,  97.8347,  13.6955
16,  97.8347,  13.6728
17,  92.3381,  12.6493
18,  98.1678,  13.6085
19,  97.8347,  13.6979
20,  97.8347,  13.6967
21,  97.8347,  13.6561
22,  97.8347,  13.6702
23,  97.8347,  13.6662
24,  97.8347,  13.6943
25,  97.8347,  13.6490
26,  97.8347,  13.6945
27,  97.8347,  13.6266
28,  97.8347,  13.7179
29,  97.8347,  13.6774
30,  89.6731,  12.4888
31,  98.1678,  13.4687
32,  97.8347,  13.5746
33,  97.8347,  13.6287
34,  97.8347,  13.5584
35,  97.8347,  13.6154
36,  97.8347,  13.5629
37,  95.3362,  13.1121
 0, 100.0000,  13.7656
 1,  97.6369,  13.4301
 2,  98.3344,  13.6824
 3,  97.8347,  13.6530
 4,  97.8347,  13.6845
 5,  97.8347,  13.6552
 6,  97.8347,  13.7229
 7,  97.8347,  13.6399
 8,  94.3369,  12.4888
 9,  98.1678,  13.5224
10,  97.8347,  13.6993
11,  97.8347,  13.7150
12,  97.8347,  13.6354
13,  97.8347,  13.7269
14,  97.8347,  13.6201
15,  97.8347,  13.6700
16,  97.8347,  13.6271
17,  92.3381,  12.6441
18,  98.1678,  13.5970
19,  97.8347,  13.6979
20,  97.8347,  13.7141
21,  97.8347,  13.6578
22,  97.8347,  13.7177
23,  97.8347,  13.6535
24,  97.8347,  13.7124
25,  97.8347,  13.6583
26,  97.8347,  13.7217
27,  97.8347,  13.6757
28,  97.8347,  13.6957
29,  97.8347,  13.6621
30,  89.6731,  12.5217
31,  98.1678,  13.4702
32,  97.8347,  13.5593
33,  97.8347,  13.6194
34,  97.8347,  13.5522
35,  97.8347,  13.6185
36,  97.8347,  13.5577
37,  95.3362,  13.1357
 0, 100.0000,  13.7935
 1,  97.6369,  13.4294
 2,  98.3344,  13.7091
 3,  97.8347,  13.6731
 4,  97.8347,  13.6845
 5,  97.8347,  13.6614
 6,  97.8347,  13.7138
 7,  97.8347,  13.6297
 8,  94.3369,  12.4855
 9,  98.1678,  13.5775
10,  97.8347,  13.6731
11,  97.8347,  13.7062
12,  97.8347,  13.6685
13,  97.8347,  13.7112
14,  97.8347,  13.6511
15,  97.8347,  13.7024
16,  97.8347,  13.7038
17,  92.3381,  12.5976
18,  98.1678,  13.6135
19,  97.8347,  13.7224
20,  97.8347,  13.7124
21,  97.8347,  13.6416
22,  97.8347,  13.6926
23,  97.8347,  13.6647
24,  97.8347,  13.7064
25,  97.8347,  13.6518
26,  97.8347,  13.6986
27,  97.8347,  13.6628
28,  97.8347,  13.6957
29,  97.8347,  13.6685
30,  89.6731,  12.4826
31,  98.1678,  13.4752
32,  97.8347,  13.5801
33,  97.8347,  13.6254
34,  97.8347,  13.5567
35,  97.8347,  13.6437
36,  97.8347,  13.5505
37,  95.3362,  13.1140
 0, 100.0000,  13.7618
 1,  97.6369,  13.4277
 2,  98.3344,  13.7119
 3,  97.8347,  13.6290
 4,  97.8347,  13.7055
 5,  97.8347,  13.6356
 6,  97.8347,  13.7246
 7,  97.8347,  13.6406
 8,  94.3369,  12.4841
 9,  98.1678,  13.5303
10,  97.8347,  13.7401
11,  97.8347,  13.6998
12,  97.8347,  13.6187
13,  97.8347,  13.7107
14,  97.8347,  13.6549
15,  97.8347,  13.7057
16,  97.8347,  13.6685
17,  92.3381,  12.5911
18,  98.1678,  13.5992
19,  97.8347,  13.7074
20,  97.8347,  13.7205
21,  97.8347,  13.6619
22,  97.8347,  13.6786
23,  97.8347,  13.6399
24,  97.8347,  13.6986
25,  97.8347,  13.6266
26,  97.8347,  13.7196
27,  97.8347,  13.6719
28,  97.8347,  13.7072
29,  97.8347,  13.6502
30,  89.6731,  12.4474
31,  98.1678,  13.4711
32,  97.8347,  13.5672
33,  97.8347,  13.5980
34,  97.8347,  13.5882
35,  97.8347,  13.6132
36,  97.8347,  13.5093
37,  95.3362,  13.0911
